2019-08-14 09:25:36.5598||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-08-14 09:25:36.8358|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-08-14 09:25:36.9198|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 84.7179ms 404  |url: http://localhost/api/values|action: 
2019-08-14 09:25:42.1938|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-08-14 09:25:42.2348|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 40.643ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-08-14 09:25:42.4278|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-08-14 09:25:42.5288|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 100.7342ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-08-14 09:26:02.5678|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5008/Health_Card_To_His/get_his_outpatient_list application/json-patch+json 136 |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: 
2019-08-14 09:26:02.5678|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: 
2019-08-14 09:26:02.5888|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "get_his_outpatient_list", controller = "Health_Card_To_His"}. Executing controller action with signature System.Threading.Tasks.Task`1[Quote.AspNetCore.ApiJsonResultData] get_his_outpatient_list(DapperTast.Param.Get_His_Outpatient_List) on controller DapperTast.Controllers.Health_Card_To_HisController (DapperTast). |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
2019-08-14 09:26:02.6128|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.Health_Card_To_HisController.get_his_outpatient_list (DapperTast) - Validation state: Valid |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
2019-08-14 09:26:02.9108|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.Health_Card_To_HisController.get_his_outpatient_list (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 295.4639ms. |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
2019-08-14 09:26:02.9168|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
2019-08-14 09:26:02.9168|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action DapperTast.Controllers.Health_Card_To_HisController.get_his_outpatient_list (DapperTast) in 333.1564ms |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
2019-08-14 09:26:02.9168|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 359.3006ms 200 application/json; charset=utf-8 |url: http://localhost/Health_Card_To_His/get_his_outpatient_list|action: get_his_outpatient_list
