2019-09-05 15:50:59.5703||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2019-09-05 15:51:00.5964|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/api/values   |url: http://localhost/api/values|action: 
2019-09-05 15:51:01.2674|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 671.7134ms 404  |url: http://localhost/api/values|action: 
2019-09-05 15:51:10.8700|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger   |url: http://localhost/swagger|action: 
2019-09-05 15:51:10.8760|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 6.1713ms 301  |url: http://localhost/swagger|action: 
2019-09-05 15:51:10.8980|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/index.html   |url: http://localhost/swagger/index.html|action: 
2019-09-05 15:51:11.0580|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 159.3459ms 200 text/html |url: http://localhost/swagger/index.html|action: 
2019-09-05 15:51:11.0820|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui.css   |url: http://localhost/swagger/swagger-ui.css|action: 
2019-09-05 15:51:11.0960|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-bundle.js   |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-09-05 15:51:11.0960|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/swagger-ui-standalone-preset.js   |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-09-05 15:51:11.1190|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui.css|action: 
2019-09-05 15:51:11.1190|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-09-05 15:51:11.1300|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 47.9221ms 200 text/css |url: http://localhost/swagger/swagger-ui.css|action: 
2019-09-05 15:51:11.1300|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 30.4245ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2019-09-05 15:51:11.1590|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-09-05 15:51:11.1590|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 64.6824ms 200 application/javascript |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2019-09-05 15:51:11.4430|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/v1/swagger.json   |url: http://localhost/swagger/v1/swagger.json|action: 
2019-09-05 15:51:11.4990|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5008/swagger/favicon-32x32.png   |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-09-05 15:51:11.4990|2|INFO|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-09-05 15:51:11.4990|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 5.145ms 200 image/png |url: http://localhost/swagger/favicon-32x32.png|action: 
2019-09-05 15:51:11.7170|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 274.2704ms 200 application/json;charset=utf-8 |url: http://localhost/swagger/v1/swagger.json|action: 
2019-09-05 15:51:18.4224|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 POST http://localhost:5008/health_card_to_his/get_his_scheduling_list application/json-patch+json 76 |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: 
2019-09-05 15:51:18.4244|4|INFO|Microsoft.AspNetCore.Cors.Infrastructure.CorsService|Policy execution successful. |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: 
2019-09-05 15:51:18.4764|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "get_his_scheduling_list", controller = "health_card_to_his"}. Executing controller action with signature System.Threading.Tasks.Task`1[Quote.AspNetCore.ApiJsonResultData] get_his_scheduling_list(DapperTast.Param.Get_His_Scheduling_List_Param) on controller DapperTast.Controllers.health_card_to_hisController (DapperTast). |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: get_his_scheduling_list
2019-09-05 15:51:18.5384|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method DapperTast.Controllers.health_card_to_hisController.get_his_scheduling_list (DapperTast) - Validation state: Valid |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: get_his_scheduling_list
2019-09-05 15:51:32.9802|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method DapperTast.Controllers.health_card_to_hisController.get_his_scheduling_list (DapperTast), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 14438.0356ms. |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: get_his_scheduling_list
2019-09-05 15:51:32.9802|1|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'Quote.AspNetCore.ApiJsonResultData'. |url: http://localhost/health_card_to_his/get_his_scheduling_list|action: get_his_scheduling_list
